ID;NOM_COUV;COMP1;COMP2;COMP3
200067890;CC Morvan Sommets et Grands Lacs;58062;D58;R27
200067908;CC Amognes Coeur du Nivernais;58232;D58;R27
200067916;CC Coeur de Loire;58086;D58;R27
200067924;CC du Canton d'Erstein;67130;D67;R44
200067932;CA Golfe du Morbihan-Vannes Agglomération;56260;D56;R53
200067940;CC Couserans-Pyrénées;9261;D9;R76
200067957;CC Haut Chemin-Pays de Pange;57155;D57;R44
200067965;CA de la Région de Compiègne et de la Basse Automne;60159;D60;R32
200067973;CC Thelloise;60139;D60;R32
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;22162;D22;R53
200067999;CA du Beauvaisis;60057;D60;R32
200068005;CC de l'Oise Picarde;60104;D60;R32
200068047;CA Creil Sud Oise;60175;D60;R32
200068070;CC Loue-Lison;25434;D25;R27
200068088;CC Les Bertranges;58059;D58;R27
200068096;CC Champsaur-Valgaudemar;5132;D5;R93
200068104;CA de la Provence Verte;83023;D83;R93
200068112;CC du Pays de Saverne;67437;D67;R44
200068120;CA Quimper Bretagne Occidentale;29232;D29;R53
200068146;CC Sarrebourg Moselle Sud;57630;D57;R44
200068229;CC des Baronnies en Drôme Provençale;26220;D26;R84
200068278;CC Berry Loire Puisaye;45053;D45;R24
200068294;CC des Deux Vallées Vertes;25315;D25;R27
200068369;CC de Mirecourt Dompaire;88304;D88;R44
200068377;CC de la Porte des Vosges Méridionales;88383;D88;R44
200068435;CC Coeur du Perche;61116;D61;R28
200068443;CC Andaine-Passais;61096;D61;R28
200068450;CC Argentan Intercom;61006;D61;R28
